slug,path,target_price,max_time,max_trades_per_window,trade_index,side,entry_elapsed,entry_price,tp_price,exit_elapsed,exit_price,exit_reason,winner,pnl,volume_ratio,btc_return
btc-updown-15m-1775448900,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_071500_btc-updown-15m-1775448900_prices.csv,0.12,600,2,1,DOWN,75,0.59,0.71,274,0.71,tp,DOWN,0.72,6.2144,-0.000585
btc-updown-15m-1775448900,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_071500_btc-updown-15m-1775448900_prices.csv,0.12,600,2,2,DOWN,91,0.62,0.74,287,0.74,tp,DOWN,0.72,3.146,-0.000585
btc-updown-15m-1775449800,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_073001_btc-updown-15m-1775449800_prices.csv,0.12,600,2,1,UP,61,0.52,0.64,122,0.64,tp,UP,0.72,4.0702,0.0
btc-updown-15m-1775449800,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_073001_btc-updown-15m-1775449800_prices.csv,0.12,600,2,2,UP,66,0.52,0.64,122,0.64,tp,UP,0.72,3.3515,0.0
btc-updown-15m-1775462400,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_105317_btc-updown-15m-1775462400_prices.csv,0.12,600,2,1,UP,60,0.65,0.77,119,0.77,tp,UP,0.72,3.1689,0.000694
btc-updown-15m-1775462400,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_105317_btc-updown-15m-1775462400_prices.csv,0.12,600,2,2,UP,69,0.65,0.77,119,0.77,tp,UP,0.72,2.6635,0.000627
btc-updown-15m-1775463300,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_111503_btc-updown-15m-1775463300_prices.csv,0.12,600,2,1,DOWN,60,0.59,0.71,416,0.71,tp,UP,0.72,4.6013,-0.000216
btc-updown-15m-1775463300,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_111503_btc-updown-15m-1775463300_prices.csv,0.12,600,2,2,DOWN,62,0.63,0.75,434,0.75,tp,UP,0.72,4.1977,-0.000312
btc-updown-15m-1775464200,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_113002_btc-updown-15m-1775464200_prices.csv,0.12,600,2,1,DOWN,77,0.61,0.73,899,0.0,settle,UP,-3.66,2.6572,-0.000323
btc-updown-15m-1775464200,C:\Users\Lenovo\Documents\Git\kng_bot3\exports\window_price_snapshots_public\20260406_113002_btc-updown-15m-1775464200_prices.csv,0.12,600,2,2,DOWN,80,0.59,0.71,899,0.0,settle,UP,-3.54,7.0538,-0.000202
